nombre_comun_es,nombre_oficial_es,capital,region,poblacion,area
Nauru,República de Nauru,Yaren,Oceania,11680,21
Polinesia Francesa,Polinesia francés,Papeetē,Oceania,279500,4167
Tuvalu,Tuvalu,Funafuti,Oceania,10643,26
Islas Marianas del Norte,Mancomunidad de las Islas Marianas del Norte,Saipan,Oceania,47329,464
Islas Cook,Islas Cook,Avarua,Oceania,15040,236
Islas Pitcairn,Grupo de Islas Pitcairn,Adamstown,Oceania,35,47
Islas Salomón,islas Salomón,Honiara,Oceania,750325,28896
Micronesia,Estados Federados de Micronesia,Palikir,Oceania,105564,702
Kiribati,República Independiente y Soberano de Kiribati,South Tarawa,Oceania,120740,811
Niue,Niue,Alofi,Oceania,1681,260
Islas Cocos o Islas Keeling,Territorio de los (Keeling) Islas Cocos,West Island,Oceania,593,14
Isla de Navidad,Territorio de la Isla de Navidad,Flying Fish Cove,Oceania,1692,135
Isla de Norfolk,Territorio de la Isla Norfolk,Kingston,Oceania,2188,36
Nueva Caledonia,nueva Caledonia,Nouméa,Oceania,264596,18575
Islas Tokelau,Tokelau,Fakaofo,Oceania,2608,12
Palau,República de Palau,Ngerulmud,Oceania,16733,459
Wallis y Futuna,Territorio de las Islas Wallis y Futuna,Mata-Utu,Oceania,11620,142
Papúa Nueva Guinea,Estado Independiente de Papúa Nueva Guinea,Port Moresby,Oceania,11781559,462840
Tonga,Reino de Tonga,Nuku'alofa,Oceania,100179,747
Islas Marshall,República de las Islas Marshall,Majuro,Oceania,42418,181
Fiyi,República de Fiji,Suva,Oceania,900869,18272
Samoa Americana,Samoa Americana,Pago Pago,Oceania,49710,199
Vanuatu,República de Vanuatu,Port Vila,Oceania,321409,12189
Samoa,Estado Independiente de Samoa,Apia,Oceania,205557,2842
Australia,Mancomunidad de Australia,Canberra,Oceania,27536874,7692024
Guam,Guam,Hagåtña,Oceania,153836,549
Nueva Zelanda,nueva Zelanda,Wellington,Oceania,5324700,270467
